aj;Astronomical Journal
actaa;Acta Astronomica
araa;Annual Review of Astron and Astrophys
apj;Astrophysical Journal
apj;The Astrophysical Journal
apjl;Astrophysical Journal, Letters
apjs;Astrophysical Journal, Supplement
ao;Applied Optics
apss;Astrophysics and Space Science
aap;Astronomy and Astrophysics
aapr;Astronomy and Astrophysics Reviews
aaps;Astronomy and Astrophysics, Supplement
azh;Astronomicheskii Zhurnal
baas;Bulletin of the AAS
caa;Chinese Astronomy and Astrophysics
cjaa;Chinese Journal of Astronomy and Astrophysics
icarus;Icarus
jcap;Journal of Cosmology and Astroparticle Physics
jrasc;Journal of the RAS of Canada
memras;Memoirs of the RAS
mnras;Monthly Notices of the RAS
mnras;Monthly Notices of the Royal Astronomical Society
mnras : Letters;Monthly Notices of the Royal Astronomical Society: Letters
na;New Astronomy
nar;New Astronomy Review
pra;Physical Review A: General Physics
pra;Physical Review A
prb;Physical Review B: Solid State
prb;Physical Review B
prc;Physical Review C
prd;Physical Review D
pre;Physical Review E
prl;Physical Review Letters
pasa;Publications of the Astron. Soc. of Australia
pasa;Publications of the Astronomical Society of Australia
pasp;Publications of the ASP
pasj;Publications of the ASJ
rmxaa;Revista Mexicana de Astronomia y Astrofisica
qjras;Quarterly Journal of the RAS
skytel;Sky and Telescope
solphys;Solar Physics
sovast;Soviet Astronomy
ssr;Space Science Reviews
zap;Zeitschrift fuer Astrophysik
nat;Nature
iaucirc;IAU Cirulars
aplett;Astrophysics Letters
apspr;Astrophysics Space Physics Research
bain;Bulletin Astronomical Institute of the Netherlands
fcp;Fundamental Cosmic Physics
gca;Geochimica Cosmochimica Acta
grl;Geophysics Research Letters
jcp;Journal of Chemical Physics
jgr;Journal of Geophysics Research
jqsrt;Journal of Quantitiative Spectroscopy and Radiative Transfer
memsai;Mem. Societa Astronomica Italiana
nphysa;Nuclear Physics A
physrep;Physics Reports
physscr;Physica Scripta
planss;Planetary Space Science
procspie;Proceedings of the SPIE
aj;The Astronomical Journal
apjs;The Astrophysical Journal Supplement Series
araa;Annual Review of Astronomy and Astrophysics
mnras;Mon. Not. R. Astron. Soc.
aap;Astronomy \& Astrophysics
apjl;The Astrophysical Journal Letters
aap;A \& A
pasp;Astronomical Society of the Pacific Conference Series
pasp;Publications of the Astronomical Society of the Pacific
procspie;Society of Photo-Optical Instrumentation Engineers (SPIE) Conference Series
aap;Astronomy {\&} Astrophysics
mnras;Mon. Not. R. Astron. Soc
actaa;ACTA ASTRONOMICA
mnras;Monthly Notices of Royal Astronomical Society
afterhere;notmacros
AsBio;zAstrobiology
IJAsB;zInternational Journal of Astrobiology
JHEP;zJournal of High Energy Physics
Sci;zScience
Physi;zPhysics
RvMA;zReviews in Modern Astronomy
